# LrTDDFT
LDA LDA
0.001 1 1e-05 2
# KSSingles
299 float64
0.001
0 4  0 0  0.100605 2     -3.64839e-03 9.55911e-04 -3.34634e-03   -3.62790e-03 1.04099e-03 -3.28624e-03   8.37565e-06 -2.50781e-06 6.71088e-07
0 5  0 0  0.105117 2     -1.42294e-01 -1.26746e-01 1.88845e-02   -1.42885e-01 -1.27568e-01 1.89035e-02   -1.40136e-04 4.45733e-04 -8.53451e-05
0 6  0 0  0.105376 2     1.24631e-01 -1.31578e-01 2.96385e-02   1.25507e-01 -1.32200e-01 2.96713e-02   4.77136e-04 1.60970e-04 6.95634e-06
0 7  0 0  0.11354 2     -6.00558e-03 1.84346e-02 1.04988e-01   -6.02971e-03 1.86226e-02 1.06544e-01   -1.46380e-05 1.10597e-06 -4.15576e-06
0 8  0 0  0.118096 2     8.59645e-04 6.93989e-04 1.79532e-03   8.52858e-04 6.34188e-04 1.80937e-03   -2.87254e-06 -1.17519e-05 -1.14091e-05
0 9  0 0  0.122673 2     7.07277e-04 -6.29526e-04 2.17912e-03   7.17656e-04 -6.33147e-04 2.22901e-03   6.19299e-06 1.02768e-05 -6.44670e-08
0 10  0 0  0.147383 2     -7.14111e-03 2.98549e-02 1.70175e-01   -6.92785e-03 2.89671e-02 1.65604e-01   -1.67124e-05 7.35232e-06 -2.40557e-06
0 11  0 0  0.153575 2     4.49377e-02 1.42202e-02 -2.73245e-04   4.14448e-02 1.31908e-02 -2.79321e-04   1.25973e-04 -1.28847e-04 2.98123e-05
0 12  0 0  0.153826 2     1.25540e-02 -4.31244e-02 7.90261e-03   1.14505e-02 -3.97546e-02 7.88835e-03   1.30365e-04 1.25434e-04 -1.13128e-05
0 13  0 0  0.158318 2     -1.07493e-03 5.54201e-04 8.06084e-04   -1.01433e-03 8.37063e-04 1.13274e-03   -7.20968e-06 -5.36040e-07 -4.65313e-06
0 14  0 0  0.160203 2     9.13565e-04 -2.94479e-03 -1.99171e-02   9.21545e-04 -2.93252e-03 -2.40894e-02   6.83649e-07 -7.54817e-06 -8.87909e-07
0 15  0 0  0.163674 2     -4.01872e-03 -2.36344e-03 1.43625e-04   -7.04886e-03 -4.99867e-03 4.36804e-04   -6.90862e-05 1.12081e-04 -2.30099e-05
0 16  0 0  0.163985 2     -3.52315e-03 6.78608e-03 -1.24227e-03   -6.15445e-03 9.83436e-03 -2.20005e-03   -1.09720e-04 -6.65598e-05 7.00434e-06
0 17  0 0  0.165945 2     -2.28672e-04 -7.55735e-04 5.54515e-04   -9.17953e-05 -3.82757e-04 5.99777e-04   -3.87124e-06 3.71366e-05 1.88816e-04
